day,day_start,baseline,threshold_value,start,end,duration_min,peak_pm,mean_pm
2020-11-19,2020-11-19 00:00:00-07:00,10.0,15.0,2020-11-19 18:18:23-07:00,2020-11-19 18:20:23-07:00,2.0,23.54,23.54
2020-11-19,2020-11-19 00:00:00-07:00,10.0,15.0,2020-11-19 20:22:23-07:00,2020-11-19 20:28:23-07:00,6.0,17.93,16.53
2020-11-19,2020-11-19 00:00:00-07:00,10.0,15.0,2020-11-19 22:02:23-07:00,2020-11-19 22:16:23-07:00,14.0,87.95,61.25571428571429
2020-11-20,2020-11-20 00:00:00-07:00,10.0,15.0,2020-11-20 00:10:23-07:00,2020-11-20 00:26:23-07:00,16.0,72.91,43.615
2020-11-20,2020-11-20 00:00:00-07:00,10.0,15.0,2020-11-20 00:32:23-07:00,2020-11-20 00:50:23-07:00,18.0,50.66,38.97333333333333
2020-11-20,2020-11-20 00:00:00-07:00,10.0,15.0,2020-11-20 03:46:23-07:00,2020-11-20 04:06:23-07:00,20.0,26.46,22.54
2020-11-20,2020-11-20 00:00:00-07:00,10.0,15.0,2020-11-20 08:18:23-07:00,2020-11-20 08:36:23-07:00,18.0,59.73,36.5488888888889
2020-11-20,2020-11-20 00:00:00-07:00,10.0,15.0,2020-11-20 18:36:23-07:00,2020-11-20 18:38:23-07:00,2.0,80.15,80.15
2020-11-20,2020-11-20 00:00:00-07:00,10.0,15.0,2020-11-20 21:46:23-07:00,2020-11-20 21:48:23-07:00,2.0,16.95,16.95
2020-11-21,2020-11-21 00:00:00-07:00,10.0,15.0,2020-11-21 00:16:23-07:00,2020-11-21 00:28:23-07:00,12.0,116.82,53.068333333333335
2020-11-21,2020-11-21 00:00:00-07:00,10.0,15.0,2020-11-21 03:00:23-07:00,2020-11-21 03:16:23-07:00,16.0,62.6,39.0025
2020-11-21,2020-11-21 00:00:00-07:00,10.0,15.0,2020-11-21 03:18:23-07:00,2020-11-21 03:22:23-07:00,4.0,21.25,18.28
2020-11-21,2020-11-21 00:00:00-07:00,10.0,15.0,2020-11-21 03:34:23-07:00,2020-11-21 03:46:23-07:00,12.0,34.48,27.816666666666663
2020-11-21,2020-11-21 00:00:00-07:00,10.0,15.0,2020-11-21 10:18:23-07:00,2020-11-21 10:36:23-07:00,18.0,16.46,15.58888888888889
2020-11-21,2020-11-21 00:00:00-07:00,10.0,15.0,2020-11-21 10:52:24-07:00,2020-11-21 10:54:24-07:00,2.0,15.05,15.05
2020-11-21,2020-11-21 00:00:00-07:00,10.0,15.0,2020-11-21 11:08:23-07:00,2020-11-21 11:10:23-07:00,2.0,15.09,15.09
2020-11-21,2020-11-21 00:00:00-07:00,10.0,15.0,2020-11-21 17:12:23-07:00,2020-11-21 17:14:23-07:00,2.0,17.73,17.73
2020-11-21,2020-11-21 00:00:00-07:00,10.0,15.0,2020-11-21 18:08:23-07:00,2020-11-21 18:22:23-07:00,14.0,22.2,19.48428571428571
2020-11-21,2020-11-21 00:00:00-07:00,10.0,15.0,2020-11-21 19:04:23-07:00,2020-11-21 19:18:23-07:00,14.0,17.62,16.712857142857143
2020-11-21,2020-11-21 00:00:00-07:00,10.0,15.0,2020-11-21 19:20:24-07:00,2020-11-21 19:22:24-07:00,2.0,15.43,15.43
2020-11-21,2020-11-21 00:00:00-07:00,10.0,15.0,2020-11-21 19:38:23-07:00,2020-11-21 19:42:24-07:00,4.016666666666667,18.51,17.950000000000003
2020-11-21,2020-11-21 00:00:00-07:00,10.0,15.0,2020-11-21 20:12:24-07:00,2020-11-21 20:14:24-07:00,2.0,31.22,31.22
2020-11-21,2020-11-21 00:00:00-07:00,10.0,15.0,2020-11-21 20:16:24-07:00,2020-11-21 20:22:24-07:00,6.0,19.27,18.03333333333333
2020-11-21,2020-11-21 00:00:00-07:00,10.0,15.0,2020-11-21 22:32:24-07:00,2020-11-21 22:50:24-07:00,18.0,62.67,44.02222222222222
2020-11-21,2020-11-21 00:00:00-07:00,10.0,15.0,2020-11-21 23:18:24-07:00,2020-11-21 23:30:24-07:00,12.0,45.49,30.74666666666667
2020-11-22,2020-11-22 00:00:00-07:00,10.0,15.0,2020-11-22 17:48:24-07:00,2020-11-22 17:50:24-07:00,2.0,15.39,15.39
2020-11-22,2020-11-22 00:00:00-07:00,10.0,15.0,2020-11-22 17:58:24-07:00,2020-11-22 18:16:24-07:00,18.0,18.6,16.950000000000003
2020-11-22,2020-11-22 00:00:00-07:00,10.0,15.0,2020-11-22 18:18:24-07:00,2020-11-22 19:34:24-07:00,76.0,32.67,21.09868421052632
2020-11-22,2020-11-22 00:00:00-07:00,10.0,15.0,2020-11-22 19:36:24-07:00,2020-11-22 19:56:24-07:00,20.0,16.33,15.652999999999997
2020-11-22,2020-11-22 00:00:00-07:00,10.0,15.0,2020-11-22 20:00:24-07:00,2020-11-23 00:00:24-07:00,240.0,48.13,23.64125
2020-11-24,2020-11-24 00:00:00-07:00,10.0,15.0,2020-11-24 09:10:25-07:00,2020-11-24 09:12:25-07:00,2.0,16.83,16.83
2020-11-24,2020-11-24 00:00:00-07:00,10.0,15.0,2020-11-24 09:18:25-07:00,2020-11-24 09:30:25-07:00,12.0,18.7,17.831666666666667
2020-11-24,2020-11-24 00:00:00-07:00,10.0,15.0,2020-11-24 17:30:25-07:00,2020-11-24 17:32:25-07:00,2.0,19.75,19.75
2020-11-24,2020-11-24 00:00:00-07:00,10.0,15.0,2020-11-24 17:34:25-07:00,2020-11-24 17:54:26-07:00,20.016666666666666,156.04,58.924
2020-11-24,2020-11-24 00:00:00-07:00,10.0,15.0,2020-11-24 17:58:25-07:00,2020-11-24 18:00:25-07:00,2.0,21.71,21.71
2020-11-24,2020-11-24 00:00:00-07:00,10.0,15.0,2020-11-24 18:14:25-07:00,2020-11-24 18:18:25-07:00,4.0,15.95,15.62
2020-11-24,2020-11-24 00:00:00-07:00,10.0,15.0,2020-11-24 20:04:25-07:00,2020-11-24 20:10:25-07:00,6.0,60.86,42.53666666666667
2020-11-24,2020-11-24 00:00:00-07:00,10.0,15.0,2020-11-24 20:50:25-07:00,2020-11-24 20:54:26-07:00,4.016666666666667,21.64,19.235
2020-11-24,2020-11-24 00:00:00-07:00,10.0,15.0,2020-11-24 21:52:26-07:00,2020-11-24 21:56:25-07:00,3.9833333333333334,16.95,16.415
2020-11-24,2020-11-24 00:00:00-07:00,10.0,15.0,2020-11-24 22:06:25-07:00,2020-11-24 22:08:25-07:00,2.0,15.22,15.22
2020-11-24,2020-11-24 00:00:00-07:00,10.0,15.0,2020-11-24 22:46:25-07:00,2020-11-24 22:54:26-07:00,8.016666666666667,19.85,17.46
2020-11-24,2020-11-24 00:00:00-07:00,10.0,15.0,2020-11-24 23:44:25-07:00,2020-11-24 23:50:25-07:00,6.0,48.42,35.39
2020-11-25,2020-11-25 00:00:00-07:00,15.779666666666666,23.6695,2020-11-25 01:10:25-07:00,2020-11-25 01:14:25-07:00,4.0,50.4,48.26
