day,day_start,baseline,threshold_value,n_events,median_duration_min,iqr_duration_min
2021-04-11,2021-04-11 00:00:00-06:00,10.0,15.0,1,2.0,0.0
2021-04-12,2021-04-12 00:00:00-06:00,10.0,15.0,0,,
2021-04-13,2021-04-13 00:00:00-06:00,10.0,15.0,0,,
2021-04-14,2021-04-14 00:00:00-06:00,10.0,15.0,0,,
2021-04-15,2021-04-15 00:00:00-06:00,10.0,15.0,0,,
2021-04-16,2021-04-16 00:00:00-06:00,12.011888888888889,18.017833333333332,0,,
2021-04-17,2021-04-17 00:00:00-06:00,10.0,15.0,6,4.0,11.5
2021-04-18,2021-04-18 00:00:00-06:00,10.0,15.0,0,,
2021-04-19,2021-04-19 00:00:00-06:00,10.0,15.0,0,,
2021-04-20,2021-04-20 00:00:00-06:00,10.0,15.0,5,2.0,2.0
2021-04-21,2021-04-21 00:00:00-06:00,15.457333333333331,23.185999999999996,0,,
2021-04-22,2021-04-22 00:00:00-06:00,16.52488888888889,24.787333333333333,0,,
2021-04-23,2021-04-23 00:00:00-06:00,11.569222222222223,17.353833333333334,0,,
2021-04-24,2021-04-24 00:00:00-06:00,10.0,15.0,0,,
2021-04-25,2021-04-25 00:00:00-06:00,10.0,15.0,2,6.008333333333333,0.008333333333333748
2021-04-26,2021-04-26 00:00:00-06:00,10.0,15.0,0,,
2021-04-27,2021-04-27 00:00:00-06:00,10.0,15.0,0,,
2021-04-28,2021-04-28 00:00:00-06:00,10.0,15.0,0,,
2021-04-29,2021-04-29 00:00:00-06:00,10.0,15.0,0,,
2021-04-30,2021-04-30 00:00:00-06:00,10.0,15.0,0,,
2021-05-01,2021-05-01 00:00:00-06:00,10.0,15.0,0,,
2021-05-02,2021-05-02 00:00:00-06:00,10.0,15.0,0,,
2021-05-03,2021-05-03 00:00:00-06:00,10.0,15.0,0,,
2021-05-04,2021-05-04 00:00:00-06:00,10.0,15.0,1,2.0,0.0
2021-05-05,2021-05-05 00:00:00-06:00,10.0,15.0,0,,
2021-05-06,2021-05-06 00:00:00-06:00,10.0,15.0,0,,
2021-05-07,2021-05-07 00:00:00-06:00,10.0,15.0,0,,
2021-05-08,2021-05-08 00:00:00-06:00,10.0,15.0,0,,
2021-05-09,2021-05-09 00:00:00-06:00,10.0,15.0,0,,
2021-05-10,2021-05-10 00:00:00-06:00,10.0,15.0,0,,
2021-05-11,2021-05-11 00:00:00-06:00,10.0,15.0,0,,
2021-05-12,2021-05-12 00:00:00-06:00,10.0,15.0,0,,
2021-05-13,2021-05-13 00:00:00-06:00,10.0,15.0,0,,
2021-05-14,2021-05-14 00:00:00-06:00,10.0,15.0,0,,
2021-05-15,2021-05-15 00:00:00-06:00,11.634777777777776,17.452166666666663,0,,
2021-05-16,2021-05-16 00:00:00-06:00,10.09488888888889,15.142333333333337,0,,
2021-05-17,2021-05-17 00:00:00-06:00,10.0,15.0,0,,
2021-05-18,2021-05-18 00:00:00-06:00,10.0,15.0,0,,
2021-05-19,2021-05-19 00:00:00-06:00,10.0,15.0,0,,
2021-05-20,2021-05-20 00:00:00-06:00,10.0,15.0,0,,
2021-05-21,2021-05-21 00:00:00-06:00,10.0,15.0,0,,
2021-05-22,2021-05-22 00:00:00-06:00,10.0,15.0,0,,
2021-05-23,2021-05-23 00:00:00-06:00,10.697222222222223,16.045833333333334,0,,
2021-05-24,2021-05-24 00:00:00-06:00,10.0,15.0,0,,
2021-05-25,2021-05-25 00:00:00-06:00,10.0,15.0,0,,
2021-05-26,2021-05-26 00:00:00-06:00,10.0,15.0,0,,
2021-05-27,2021-05-27 00:00:00-06:00,10.0,15.0,0,,
2021-05-28,2021-05-28 00:00:00-06:00,10.0,15.0,0,,
2021-05-29,2021-05-29 00:00:00-06:00,10.0,15.0,1,2.0,0.0
2021-05-30,2021-05-30 00:00:00-06:00,10.0,15.0,0,,
2021-05-31,2021-05-31 00:00:00-06:00,10.567,15.8505,0,,
2021-06-01,2021-06-01 00:00:00-06:00,10.0,15.0,0,,
2021-06-02,2021-06-02 00:00:00-06:00,10.0,15.0,0,,
2021-06-03,2021-06-03 00:00:00-06:00,10.0,15.0,0,,
2021-06-04,2021-06-04 00:00:00-06:00,10.0,15.0,0,,
2021-06-05,2021-06-05 00:00:00-06:00,10.0,15.0,0,,
2021-06-06,2021-06-06 00:00:00-06:00,10.0,15.0,0,,
2021-06-07,2021-06-07 00:00:00-06:00,10.0,15.0,0,,
2021-06-08,2021-06-08 00:00:00-06:00,10.0,15.0,0,,
2021-06-09,2021-06-09 00:00:00-06:00,10.0,15.0,0,,
2021-06-10,2021-06-10 00:00:00-06:00,10.0,15.0,0,,
2021-06-11,2021-06-11 00:00:00-06:00,10.0,15.0,0,,
2021-06-12,2021-06-12 00:00:00-06:00,10.0,15.0,0,,
2021-06-13,2021-06-13 00:00:00-06:00,10.0,15.0,0,,
2021-06-14,2021-06-14 00:00:00-06:00,10.0,15.0,0,,
2021-06-15,2021-06-15 00:00:00-06:00,10.0,15.0,0,,
2021-06-16,2021-06-16 00:00:00-06:00,10.0,15.0,0,,
2021-06-17,2021-06-17 00:00:00-06:00,10.0,15.0,0,,
2021-06-18,2021-06-18 00:00:00-06:00,10.0,15.0,0,,
2021-06-19,2021-06-19 00:00:00-06:00,10.0,15.0,0,,
2021-06-20,2021-06-20 00:00:00-06:00,10.0,15.0,0,,
2021-06-21,2021-06-21 00:00:00-06:00,10.0,15.0,0,,
2021-06-22,2021-06-22 00:00:00-06:00,10.0,15.0,0,,
2021-06-23,2021-06-23 00:00:00-06:00,10.0,15.0,0,,
2021-06-24,2021-06-24 00:00:00-06:00,10.0,15.0,0,,
2021-06-25,2021-06-25 00:00:00-06:00,10.0,15.0,0,,
2021-06-26,2021-06-26 00:00:00-06:00,10.0,15.0,0,,
2021-06-27,2021-06-27 00:00:00-06:00,10.0,15.0,0,,
2021-06-28,2021-06-28 00:00:00-06:00,10.0,15.0,0,,
2021-06-29,2021-06-29 00:00:00-06:00,10.0,15.0,0,,
2021-06-30,2021-06-30 00:00:00-06:00,10.0,15.0,0,,
2021-07-01,2021-07-01 00:00:00-06:00,10.0,15.0,0,,
2021-07-02,2021-07-02 00:00:00-06:00,10.0,15.0,0,,
2021-07-03,2021-07-03 00:00:00-06:00,10.0,15.0,0,,
2021-07-04,2021-07-04 00:00:00-06:00,10.0,15.0,0,,
2021-07-05,2021-07-05 00:00:00-06:00,12.605444444444444,18.908166666666666,1,32.016666666666666,0.0
2021-07-06,2021-07-06 00:00:00-06:00,10.0,15.0,0,,
2021-07-07,2021-07-07 00:00:00-06:00,10.0,15.0,0,,
2021-07-08,2021-07-08 00:00:00-06:00,10.0,15.0,0,,
2021-07-09,2021-07-09 00:00:00-06:00,10.0,15.0,0,,
2021-07-10,2021-07-10 00:00:00-06:00,10.0,15.0,0,,
2021-07-11,2021-07-11 00:00:00-06:00,10.144444444444444,15.216666666666665,0,,
2021-07-12,2021-07-12 00:00:00-06:00,12.996222222222222,19.494333333333334,0,,
2021-07-13,2021-07-13 00:00:00-06:00,10.0,15.0,0,,
2021-07-14,2021-07-14 00:00:00-06:00,10.0,15.0,2,28.008333333333333,26.008333333333336
2021-07-15,2021-07-15 00:00:00-06:00,10.0,15.0,0,,
2021-07-16,2021-07-16 00:00:00-06:00,10.0,15.0,0,,
2021-07-17,2021-07-17 00:00:00-06:00,10.0,15.0,0,,
2021-07-18,2021-07-18 00:00:00-06:00,10.0,15.0,0,,
2021-07-19,2021-07-19 00:00:00-06:00,10.0,15.0,0,,
2021-07-20,2021-07-20 00:00:00-06:00,10.0,15.0,0,,
2021-07-21,2021-07-21 00:00:00-06:00,10.0,15.0,0,,
2021-07-22,2021-07-22 00:00:00-06:00,10.0,15.0,0,,
2021-07-23,2021-07-23 00:00:00-06:00,10.0,15.0,0,,
